SETTLEMENTDATE,timestamp_utc,asset_label,Station Name,DUID,Region,Participant,Dispatch Type,SCADAVALUE,SIGNED_MW,ABS_MW,BESS_STATE,REGION_RRP,REGION_TOTALDEMAND,MAX_DISCHARGE_MW,MAX_CHARGE_MW,STORAGE_MWH,utilisation_pct,Latitude,Longitude,Category,Fuel Source - Primary,Technology Type - Primary
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Adelaide Desalination Plant (ADPBA1),Adelaide Desalination Plant,ADPBA1,SA1,South Australian Water Corporation,Bidirectional Unit,-0.05,-0.05,0.05,Idle,101.02,1745.77,6.15,6.0,6.0,0.83,-35.1018,138.4839,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Ballarat BESS (BALB1),Ballarat BESS,BALB1,VIC1,EnergyAustralia Pty Ltd,Bidirectional Unit,0.0,0.0,0.0,Idle,8.94,6221.5,30.0,30.0,30.0,0.0,-37.5675,143.9199,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Bouldercombe Battery Project (BBATTERY1),Bouldercombe Battery Project,BBATTERY1,QLD1,Bouldercombe Battery Project Co Pty Ltd as trustee for Bouldercombe Battery Project Trust,Bidirectional Unit,-4.57,-4.57,4.57,Charging,53.75,6648.15,50.0,50.0,100.0,9.14,-23.53274,150.48979,market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Broken Hill BESS (BHB1),Broken Hill BESS,BHB1,NSW1,AGL Macquarie Pty Limited,Bidirectional Unit,-0.28,-0.28,0.28,Idle,58.64245,8949.36,50.0,50.0,50.0,0.56,-31.9866,141.4589,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Blyth BESS (BLYTHB1),Blyth BESS,BLYTHB1,SA1,Blyth Battery Pty Ltd as the Trustee for Blyth Battery Trust,Bidirectional Unit,45.02,45.02,45.02,Discharging,101.02,1745.77,200.0,200.0,400.0,22.51,-33.8474,138.4032,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Bolivar Waste Water Treatment Plant (BOWWBA1),Bolivar Waste Water Treatment Plant,BOWWBA1,SA1,South Australian Water Corporation,Bidirectional Unit,1.79,1.79,1.79,Discharging,101.02,1745.77,2.0,2.0,2.0,89.5,-34.775,138.5889,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Bulgana Green Power Hub (BULBES1),Bulgana Green Power Hub,BULBES1,VIC1,Bulgana Wind Farm Pty Ltd,Bidirectional Unit,-1.67,-1.67,1.67,Charging,8.94,6221.5,20.0,20.0,34.0,8.35,-37.0998,142.9654,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Capital Battery (CAPBES1),Capital Battery,CAPBES1,NSW1,Capital Battery Pty Ltd as Trustee for Capital Battery Trust,Bidirectional Unit,29.1,29.1,29.1,Discharging,58.64245,8949.36,100.0,100.0,200.0,29.1,-35.3448,149.2457,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Christies Beach Wastewater Treatment Plant (CBWWBA1),Christies Beach Wastewater Treatment Plant,CBWWBA1,SA1,South Australian Water Corporation,Bidirectional Unit,1.99,1.99,1.99,Discharging,101.02,1745.77,2.14,2.0,2.0,92.99,-35.1245,138.4725,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,"Chinchilla BESS, Units 1-80 (CHBESS1)","Chinchilla BESS, Units 1-80",CHBESS1,QLD1,CS Energy Limited,Bidirectional Unit,-0.84,-0.84,0.84,Idle,53.75,6648.15,100.0,100.0,200.0,0.84,-26.91788,150.75074,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Dalrymple North BESS (DALNTH1),Dalrymple North BESS,DALNTH1,SA1,AGL Dalrymple Pty Limited,Bidirectional Unit,0.0,0.0,0.0,Idle,101.02,1745.77,30.0,30.0,12.2,0.0,-34.936,137.744,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Darlington Point BESS (DPNTB1),Darlington Point BESS,DPNTB1,NSW1,EnergyAustralia Pty Ltd,Bidirectional Unit,0.04,0.04,0.04,Idle,58.64245,8949.36,25.0,25.0,50.0,0.16,-34.6472,146.0529,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Eraring BESS (ERB01),Eraring BESS,ERB01,NSW1,Origin Energy Electricity Limited,Bidirectional Unit,90.27,90.27,90.27,Discharging,58.64245,8949.36,460.0,460.0,1073.0,19.62,-33.06223,151.521359,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Gannawarra BESS (GANNB1),Gannawarra BESS,GANNB1,VIC1,EnergyAustralia Pty Ltd,Bidirectional Unit,-0.35,-0.35,0.35,Idle,8.94,6221.5,30.0,30.0,49.85,1.17,-35.73389,143.78,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Greenbank BESS (GREENB1),Greenbank BESS,GREENB1,QLD1,CS Energy Limited,Bidirectional Unit,-1.81,-1.81,1.81,Charging,53.75,6648.15,200.0,200.0,400.0,0.9,-27.7667,152.9667,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Hazelwood BESS (HBESS1),Hazelwood BESS,HBESS1,VIC1,Hazelwood BESS Project Co Pty Ltd as Trustee for the HBESS Asset Trust,Bidirectional Unit,-0.3,-0.3,0.3,Idle,8.94,6221.5,150.0,150.0,150.0,0.2,-38.271833,146.390879,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Hornsdale Power Reserve (HPR1),Hornsdale Power Reserve,HPR1,SA1,Hornsdale Power Reserve Pty Ltd,Bidirectional Unit,-0.4,-0.4,0.4,Idle,101.02,1745.77,150.0,150.0,194.0,0.27,-33.187,138.5863,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Happy Valley Water Treatment Plant (HVWWBA1),Happy Valley Water Treatment Plant,HVWWBA1,SA1,South Australian Water Corporation,Bidirectional Unit,4.01,4.01,4.01,Discharging,101.02,1745.77,4.0,4.0,4.0,100.25,-35.073,138.572,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Koorangie BESS (KESSB1),Koorangie BESS,KESSB1,VIC1,Shell Energy Retail Pty Ltd,Bidirectional Unit,-0.24,-0.24,0.24,Idle,8.94,6221.5,185.0,185.0,370.0,0.13,-35.733,143.921,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Lake Bonney BESS1 (LBB1),Lake Bonney BESS1,LBB1,SA1,Lake Bonney Wind Power Pty Ltd,Bidirectional Unit,-0.15,-0.15,0.15,Idle,101.02,1745.77,25.0,52.0,52.0,0.29,-37.738,140.39967,Market,Battery storage,Storage
