SETTLEMENTDATE,REGIONID,RRP,TOTALDEMAND,timestamp_utc,BATTERY_CHARGING_MW,BATTERY_DISCHARGING_MW,RENEWABLE_GEN_MW,RENEWABLE_DEMAND_DELTA_MW
2026-07-01 09:45:00,NSW1,99.01,8524.42,2026-06-30T23:43:27.262359,256.19,18.3,2647.21,-5877.21
2026-07-01 12:00:00,NSW1,82.98,7589.2,2026-07-01T01:57:48.163520,372.92,0.0,2445.25,-5143.95
2026-07-01 16:25:00,NSW1,113.00958,8941.49,2026-07-01T06:21:52.561527,1.5,46.51,1758.65,-7182.84
2026-07-01 20:30:00,NSW1,88.88,9345.96,2026-07-01T10:26:27.825263,4.85,23.36,2445.05,-6900.909999999999
2026-07-01 23:15:00,NSW1,74.06,8099.06,2026-07-01T13:16:32.862168,24.1,0.0,2568.58,-5530.4800000000005
2026-07-02 01:55:00,NSW1,70.25584,7277.21,2026-07-01T15:56:25.697395,117.34,0.0,2493.71,-4783.5
2026-07-02 03:50:00,NSW1,73.0,6812.72,2026-07-01T17:50:59.579535,243.05,2.66,2472.66,-4340.06
2026-07-02 05:25:00,NSW1,72.57431,7339.29,2026-07-01T19:25:14.855293,158.09,0.0,2579.11,-4760.18
2026-07-02 07:05:00,NSW1,93.95,8735.23,2026-07-01T21:04:16.232948,0.0,172.56,2520.37,-6214.86
2026-07-02 08:40:00,NSW1,75.26438,8374.35,2026-07-01T22:38:25.939210,61.24,4.95,3391.17,-4983.18
2026-07-01 09:45:00,QLD1,67.75,5056.28,2026-06-30T23:43:27.262359,98.45,9.83,2361.82,-2694.46
2026-07-01 12:00:00,QLD1,67.99,4893.31,2026-07-01T01:57:48.163520,204.49,0.0,2668.29,-2225.0200000000004
2026-07-01 16:25:00,QLD1,102.88,6878.38,2026-07-01T06:21:52.561527,83.92,25.38,1992.34,-4886.04
2026-07-01 20:30:00,QLD1,84.49995,7137.3,2026-07-01T10:26:27.825263,0.0,102.6,1756.5,-5380.8
2026-07-01 23:15:00,QLD1,72.5,6196.41,2026-07-01T13:16:32.862168,38.63,0.0,1497.46,-4698.95
2026-07-02 01:55:00,QLD1,67.99,5593.58,2026-07-01T15:56:25.697395,150.73,0.0,1422.63,-4170.95
