Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Units,Aggregation,DUID,Reg Cap generation (MW),Max Cap generation (MW),Max ROC/Min generation,Reg Cap consumption (MW),Max Cap consumption (MW),Max ROC/Min consumption,Maximum storage capacity,Latitude,Longitude
AGL Dalrymple Pty Limited,Dalrymple North BESS,SA1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery,1-12,Y,DALNTH1,30,30,720,30,30,720,12.2,-34.936,137.744
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-3,Y,ADPBA1G,7.76,6.15,2,,,,,-35.1018,138.4839
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-3,Y,ADPBA1L,7.76,6.15,2,,,,,-35.1018,138.4839
AGL Macquarie Pty Limited,Broken Hill BESS,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-44,Y,BHB1,66,50,20,66,50,20,50,-31.9866,141.4589
AGL SA Generation Pty Limited,Torrens Island BESS,SA1,Bidirectional Unit,Market,Scheduled,Battery Storage,Grid,Storage,Battery and Inverter,1-109,Y,TIB1,250,250,100,250,250,100,250,-34.8068,138.5213
AGL Sales (Queensland Electricity) Pty Limited,Wandoan BESS,QLD1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery,1-34,Y,WANDB1,123,100,40,123,100,40,150,-26.1963,149.8828
Berrybank 2 Asset Pty Ltd as trustee for Berrybank 2 Asset Trust,Queanbeyan BESS,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-8,Y,QBYNB1,10,10,16,10,10,16,20,-35.3528,149.2325
Blyth Battery Pty Ltd as the Trustee for Blyth Battery Trust,Blyth BESS,SA1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-64,Y,BLYTHB1,281,200,80,281,200,80,400,-33.8474,138.4032
Bouldercombe Battery Project Co Pty Ltd as trustee for Bouldercombe Battery Project Trust,Bouldercombe Battery Project,QLD1,Bidirectional Unit,market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-40,Y,BBATTERY1,67,50,160,67,50,160,100,-23.53274,150.48979
Bulgana Wind Farm Pty Ltd,Bulgana Green Power Hub,VIC1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery,1-40,Y,BULBES1,24,20,8,24,20,8,34,-37.0998,142.9654
Capital Battery Pty Ltd as Trustee for Capital Battery Trust,Capital Battery,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-33,Y,CAPBES1,125,100,132,125,100,132,200,-35.3448,149.2457
CS Energy Limited,"Chinchilla BESS, Units 1-80",QLD1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-80,Y,CHBESS1,134,100,40,134,100,40,200,-26.91788,150.75074
CS Energy Limited,Greenbank BESS,QLD1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery,1-108,Y,GREENB1,259.2,200,40,259.2,200,80,400,-27.7667,152.9667
EnergyAustralia Pty Ltd,Ballarat BESS,VIC1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery,1-17,Y,BALB1,30,30,720,30,30,720,30,-37.5675,143.9199
EnergyAustralia Pty Ltd,Darlington Point BESS,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-16,Y,DPNTB1,25,25,10,25,25,10,50,-34.6472,146.0529
EnergyAustralia Pty Ltd,Gannawarra BESS,VIC1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery,1-50,Y,GANNB1,30,30,400,30,30,400,49.85,-35.73389,143.78
